       337 read  addr:8000d998 rdata:80000884 sel:1111  (pc:8000648c instr:04012903)
       338 read  addr:8000d994 rdata:8000d9c8 sel:1111  (pc:80006490 instr:03c12983)
       339 read  addr:8000d990 rdata:00000002 sel:1111  (pc:80006494 instr:03812a03)
       340 read  addr:8000d98c rdata:00000000 sel:1111  (pc:80006498 instr:03412a83)
       341 read  addr:8000d988 rdata:00000000 sel:1111  (pc:8000649c instr:03012b03)
       350 write addr:8000d9b4 wdata:00000007 sel:1111  (pc:80000254 instr:00a12623)
       350 write addr:8000d9b8 wdata:8000d9b4 sel:1111  (pc:8000025c instr:01212823)
       353 write addr:8000d9bc wdata:800085e0 sel:1111  (pc:80000268 instr:00a12a23)
       354 write addr:8000d9c4 wdata:8000d9c8 sel:1111  (pc:8000026c instr:01312e23)
       357 write addr:8000d9c8 wdata:800008a8 sel:1111  (pc:80000278 instr:02a12023)
       358 write addr:8000d9cc wdata:00000002 sel:1111  (pc:8000027c instr:03412223)
       359 write addr:8000d9d0 wdata:00000000 sel:1111  (pc:80000280 instr:02012423)
       360 write addr:8000d9d8 wdata:8000d9b8 sel:1111  (pc:80000284 instr:02912823)
       362 write addr:8000d9dc wdata:00000001 sel:1111  (pc:8000028c instr:02912a23)
       373 write addr:8000d9a4 wdata:800002b0 sel:1111  (pc:8000623c instr:04112623)
       373 write addr:8000d9a0 wdata:80000920 sel:1111  (pc:80006240 instr:04812423)
       374 write addr:8000d99c wdata:00000001 sel:1111  (pc:80006244 instr:04912223)
       375 write addr:8000d998 wdata:8000d9b4 sel:1111  (pc:80006248 instr:05212023)
       376 write addr:8000d994 wdata:8000d9c8 sel:1111  (pc:8000624c instr:03312e23)
       377 write addr:8000d990 wdata:00000002 sel:1111  (pc:80006250 instr:03412c23)
       378 write addr:8000d98c wdata:00000000 sel:1111  (pc:80006254 instr:03512a23)
       379 write addr:8000d988 wdata:00000000 sel:1111  (pc:80006258 instr:03612823)
       381 write addr:8000d960 wdata:00000000 sel:1111  (pc:80006260 instr:00012423)
       383 write addr:8000d964 wdata:00000020 sel:1111  (pc:80006268 instr:00c12623)
       385 write addr:8000d980 wdata:00000003 sel:0001  (pc:80006270 instr:02c10423)
       387 read  addr:8000d9d0 rdata:00000000 sel:1111  (pc:80006274 instr:00842603)
       387 write addr:8000d968 wdata:00000000 sel:1111  (pc:80006278 instr:00012823)
       388 write addr:8000d970 wdata:00000000 sel:1111  (pc:8000627c instr:00012c23)
       389 write addr:8000d978 wdata:8000d9c4 sel:1111  (pc:80006280 instr:02a12023)
       390 write addr:8000d97c wdata:80000920 sel:1111  (pc:80006284 instr:02b12223)
       394 read  addr:8000d9dc rdata:00000001 sel:1111  (pc:800063b0 instr:01442503)
       395 read  addr:8000d9d8 rdata:8000d9b8 sel:1111  (pc:800063b8 instr:01042583)
       396 read  addr:8000d9c8 rdata:800008a8 sel:1111  (pc:800063bc instr:00042603)
       404 read  addr:800008ac rdata:00000009 sel:1111  (pc:800063dc instr:00092603)
